age,nzw_13C ,nzw_18O
11598,-8.35,-2.86
11611,-6.84,-3.51
11643,-6.58,-3.61
11672,-7,-2.87
11674,-6.88,-3.68
11679,-8,-2.81
11705,-6.81,-3.46
11731,-7.6,-2.94
11736,-6.7,-3.54
11763,-7.72,-2.92
11768,-7.09,-3.53
11799,-7.33,-3.57
11808,-7.4,-2.66
11820,-7.3,-3.52
11842,-7.04,-3.53
11858,-6.86,-2.9
11863,-7.22,-3.67
11885,-6.73,-3.52
11896,-7.9,-2.91
11906,-6.9,-3.39
11927,-6.67,-3.27
11937,-8.26,-2.82
11949,-6.61,-3.44
11955,-7.98,-2.9
11970,-6.93,-3.57
11992,-6.81,-3.39
12013,-6.95,-3.62
12034,-6.9,-3.59
12056,-6.78,-3.35
12057,-7.42,-2.8
12066,-7.45,-2.94
12077,-6.81,-3.42
12098,-6.19,-3.19
12120,-6.57,-3.26
12141,-7,-3.39
12162,-7.87,-3.13
12163,-7.3,-3.48
12184,-7.53,-3.59
12205,-7.5,-3.59
12227,-7.24,-3.41
12243,-6.43,-3.13
12248,-7.44,-3.59
12270,-7.09,-3.38
12272,-7.42,-2.96
12291,-7.05,-3.27
12316,-7.25,-3.12
12324,-7,-3.41
12327,-7.81,-2.84
12357,-6.89,-3.4
12362,-8.06,-3.1
12388,-6.44,-2.82
12390,-7.23,-3.55
12422,-6.92,-3.15
12455,-7.32,-3.42
12488,-7.53,-3.59
12508,-6.06,-2.52
12521,-7.88,-3.71
12543,-7.63,-2.74
12554,-7.79,-3.54
12587,-7.45,-3.35
12619,-7.29,-3.41
12634,-7.57,-2.97
12640,-6.47,-2.85
12652,-6.96,-3.3
12685,-7.12,-3.29
12718,-7.41,-3.43
12766,-6.71,-2.67
12882,-8.02,-3.41
12905,-7.25,-2.98
12917,-7.27,-3.06
13023,-7.45,-2.63
13046,-7.14,-3.2
13050,-7.42,-2.72
13072,-7.01,-3.03
13202,-8.77,-3.04
13210,-6.23,-3.09
13276,-6.57,-3.06
13318,-7.16,-2.87
13351,-7.08,-3.02
13362,-9.86,-2.88
13477,-7.32,-3.36
13484,-5.44,-2.15
13502,-6.66,-2.4
13529,-7.38,-2.91
13531,-6.65,-2.59
13534,-5.93,-2.81
13561,-5.96,-2.63
13590,-6.66,-2.57
13603,-6.26,-2.99
13619,-6.98,-2.58
13649,-6.71,-2.5
13678,-6.6,-2.33
13705,-7.41,-2.78
13707,-7.45,-2.85
