depth_dome,age_dome,deuterium_dome,temp_dome,depth_vos,age_vos,deiterium_vos,deltaTS,age_composite,CO2_composite
64.35,1390.3,-386.6,1.55,94,3156.57,-438.5,-0.08,3255.73,276.3
64.9,1404.83,-390.6,0.89,95,3200.05,-437.1,0.15,3283.66,273.1
65.45,1419.36,-397,-0.17,96,3243.53,-440.6,-0.43,3431.12,274
66,1433.9,-396.1,-0.02,97,3289.34,-441.7,-0.61,3528.29,275
66.55,1450.18,-398.9,-0.48,98,3335.15,-439.8,-0.3,3644.46,273.4
67.1,1466.46,-400.2,-0.7,99,3380.12,-438.8,-0.13,3693.41,273
67.65,1482.74,-398.7,-0.45,100,3425.08,-436.7,0.22,3806.86,271.5
68.2,1498.8,-389.7,1.04,101,3468.8,-437,0.17,3856.17,275.4
68.75,1514.85,-401.6,-0.93,102,3512.53,-443.5,-0.91,3968.95,274.9
69.3,1530.9,-397.9,-0.32,103,3560.63,-443.4,-0.9,4108.67,271.7
69.85,1546.89,-399.2,-0.54,104,3608.72,-436.2,0.3,4205.84,271.6
70.4,1562.88,-397.6,-0.27,105,3651.92,-434.1,0.65,4275.08,272.8
70.95,1578.87,-390.5,0.9,106,3695.12,-434.5,0.58,4342.82,271.5
71.5,1595.08,-401.5,-0.92,107,3739.13,-437.8,0.03,4494.36,271.1
72.05,1611.29,-395.7,0.04,108,3783.15,-441.8,-0.63,4592.82,269.1
72.6,1627.5,-394.5,0.24,109,3830.57,-440.8,-0.46,4647.46,269.8
73.15,1644.26,-402.9,-1.15,110,3877.99,-438,0,4773,271.5
73.7,1661.03,-401,-0.84,111,3923.96,-439.4,-0.23,4921.2,270.7
74.25,1677.8,-391.5,0.73,112,3969.94,-442,-0.66,4981.58,269.3
74.8,1694.5,-403.4,-1.24,113,4018.37,-442.4,-0.73,5086.79,268.6
75.35,1711.21,-393.4,0.42,114,4066.8,-442.5,-0.75,5218.57,269.8
75.9,1727.92,-393.8,0.35,115,4115.93,-443.5,-0.91,5311.18,267.6
76.45,1744.8,-400.8,-0.81,116,4165.07,-444.6,-1.09,5357.55,265.3
77,1761.69,-399.3,-0.56,117,4215.28,-444,-1,5533.29,265.2
77.55,1778.58,-396.6,-0.11,118,4265.48,-441.2,-0.53,5581.3,267.6
78.1,1795.47,-395.3,0.1,119,4311.63,-434.7,0.55,5757.61,265.9
