Eucalyptus sp.,A.laxifolia,A.cupressoides,D.archeri,M.tetragona,P.hookeriana,N.cunninghamii,E.serpyllifolia,R.scoparia,B.rubioides,M.dealbata,L.juniperina,O.acicularis,O.revoluta,R.sprengeloides,C.nitida,S.incarnata,T.cunninghamii,Cyathodes,L.lanigerum,L.rupestre,Andreaea sp.,B.mossmaniana,B.pendula/affinis,B.rutabulum/paradoxum,Bryaceae,D.microcarpum,Dicranoloma sp.,Dicranaceae,D.cylindricarpum/difficile,Fissidens sp.,Entosthodon sp.,Grimmiaceae,H.chrysogaster/cupressiforme,H.comosum,H.didictyon,Lembophyllaceae,Weymouthia sp.,L.inclinans,Campylopus sp.,T.pumilum,L.gaudichaudii,Orthotrichaceae,P.acicularis,H.alaris ,R.purpurascens,R.novaehollandiae,Pyrrhobryum sp.,B.robusta,Sphagnum sp.,T.furfurosa,Leptoscyphus sp.
2,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0
0,0,0,0,0,0,0,10,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,25,0,3,4,0,0,0,24,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,0,0
0,1,5,0,1,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0,0,2,2,0,0,54,0,1,2,1,0,0,3,0,0,0,4,0,0,1,1,0,4,0,22,4,1
0,0,0,0,0,0,0,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,6,3,0,0,0,32,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0
0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,17,0,1,0,2,0,0,28,0,2,0,3,0,0,0,2,3,0,0,0,0,0,2,0,4,0,1,1,0
18,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,5,0,0,0,38,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0
15,0,0,0,0,0,0,8,1,3,0,0,0,0,0,0,0,0,0,0,0,0,5,28,0,1,6,2,0,0,32,0,0,1,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,3,3,0
0,0,0,0,0,0,0,6,0,2,0,1,0,0,0,0,0,0,0,0,2,0,0,19,0,5,3,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,3,0,0
0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,2,0,1,0,0,6,0,2,0,2,0,0,19,0,0,0,1,0,0,0,0,3,0,3,2,0,0,0,0,3,0,12,1,0
0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,8,17,11,0,0,0,2,0,0,41,0,0,2,7,1,0,0,0,0,0,1,4,0,0,0,0,0,0,23,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,2,3,0,0,316,0,0,0,3,0,0,10,0,0,0,0,0,1,0,0,0,1,0,58,112,6
35,0,0,0,0,1,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,0,1,0,0,0,0,22,0,0,0,10,0,0,0,0,0,3,0,0,0,0,3,0,3,0,3,85,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1,0,1,1,0,6,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0
0,0,0,0,0,0,0,4,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,16,0,0,0,2,0,0,10,0,0,5,1,0,0,0,0,3,0,1,0,0,0,1,0,1,0,2,1,0
0,0,0,0,0,0,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,2,1,3,0,0,32,0,0,2,3,1,0,0,0,1,0,1,0,0,0,1,0,1,0,27,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1,2,0,4,0,0,27,0,0,2,2,0,1,2,0,2,0,0,1,0,0,1,0,0,0,7,0,0
12,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,34,0,1,4,1,0,0,17,0,7,1,3,0,0,0,0,3,0,5,1,0,0,3,0,0,0,5,0,0
0,0,0,0,0,0,1,3,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,15,0,0,0,1,0,0,10,4,0,0,14,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0
13,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,16,0,0,0,3,0,0,8,0,0,0,0,0,2,0,0,1,4,0,0,0,0,1,0,3,0,0,0,0
3,0,5,0,0,0,3,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,12,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,7,52,0,10,1,30,4,6,0,0,0,1,0,0,0,0,0,0,1,0,3,0,10,0,5,14,17,0,0,34,0,0,7,4,0,11,0,0,1,2,28,6,1,2,3,0,0,0,0,0,2
0,6,34,0,0,0,5,20,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,64,0,19,14,6,0,0,90,0,1,12,9,2,4,0,0,0,1,21,3,2,0,3,9,0,0,0,14,5
4,0,2,0,8,0,45,6,0,1,0,2,2,0,1,0,0,0,0,0,0,1,0,39,0,13,9,20,6,0,27,0,6,8,8,0,0,0,0,2,0,14,2,0,0,0,0,0,0,0,1,3
0,0,36,0,0,0,3,8,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,21,0,1,1,9,0,0,14,0,3,1,4,0,0,0,0,1,0,5,0,0,0,2,0,0,0,0,3,0
12,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,2,0,0,10,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,2,0,1,1,0,8
0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,12,1,6,0,0,13,9,3,3,1,0,2,0,1,8,1,7,0,1,0,3,0,0,0,0,0,13
5,0,7,0,0,0,3,9,5,0,0,0,0,0,0,0,0,2,0,0,1,0,0,21,0,51,2,3,2,0,16,0,0,6,2,0,8,0,1,7,1,6,0,1,0,2,2,0,0,0,10,10
0,0,0,0,2,0,5,4,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0,2,2,3,0,0,8,0,2,0,2,0,0,0,1,1,0,6,1,0,0,0,0,0,0,0,0,5
0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,5,0,1,3,0,0,0,8,0,0,0,0,0,17,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
0,0,18,2,0,0,0,22,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,32,0,16,17,1,0,0,76,0,0,5,11,0,7,0,3,0,0,11,1,7,0,9,9,0,0,0,0,28
0,10,80,2,1,0,50,6,2,0,0,2,0,0,0,0,2,1,0,0,0,1,0,7,0,0,5,2,4,8,26,0,0,6,0,2,15,0,2,0,0,15,0,6,0,0,7,0,0,0,0,21
0,0,0,0,0,0,6,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,4,2,0,0,26,0,0,6,1,0,0,0,0,0,1,5,1,0,0,2,0,0,1,0,0,8
0,0,5,0,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,26,0,2,2,3,0,7,1,0,7,1,0,3,0,0,0,0,0,0,0,0,4
0,0,0,1,0,0,2,3,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,2,0,0,0,4,0,2,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,0,0,1,12,10,0,25,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,0,0,0,0,4,3,1,0,0,0,0,6,0,0,0,0,0,0,0,1,0,13,0,0,1,22,0,0,3,0,0,2,0,0,0,0,0,0,0,3,0,1,0,1,0,0,1,0,0,0
0,0,31,34,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0
0,0,10,24,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,29,0,3,0,3,2,0,0,0,0,0,0,0,2,0,0,0,0,2,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,17,0,1,1,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,4,9,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,11,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
0,0,6,9,1,1,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,22,150,8,13,0,23,1,0,1,0,21,2,2,0,1,0,0,1,0,1,1,1,0,6,0,3,1,0,3,0,2,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
0,0,14,0,113,0,0,17,3,0,0,1,11,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,54,0,0,20,0,0,0,0,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0
0,0,0,4,0,0,0,10,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,10,0,0,5,0,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,8,1,0,0,6,0,0,0,1,2,1,0,0,0,0,0,0,0,1,0,0,0,1,0,6,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0,0,10,68,0,43,0,10,0,0,2,0,5,0,5,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,176,1,0,0,7,5,0,2,1,4,0,1,0,1,0,0,0,0,6,0,2,0,15,0,1,0,2,5,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,6,26,48,0,1,9,8,0,1,0,2,2,0,0,0,0,3,0,0,9,0,2,10,5,0,0,2,1,2,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,31,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
