depth;age;influx
322.5;3055;1.841461064
323.5;3068;0.223035439
324.5;3081;7.224499615
325.5;3094;8.900845503
326.5;3107;12.30337942
327.5;3120;8.998273216
328.5;3133;18.05674847
329.5;3146;7.961619449
330.5;3159;6.921863045
331.5;3172;10.86362768
332.5;3185;6.100362872
333.5;3198;7.103165523
334.5;3211;3.107564787
335.5;3224;6.026656512
336.5;3237;4.186073059
337.5;3251;11.05423632
338.5;3264;7.583712984
339.5;3277;8.127086495
340.5;3290;5.194465504
341.5;3303;6.337149886
342.5;3317;13.46766263
343.5;3330;8.114606954
344.5;3343;10.87811556
345.5;3356;7.204751131
346.5;3370;9.05369254
347.5;3383;4.559770331
348.5;3396;13.99576749
349.5;3409;12.48844853
350.52;3423;9.085304054
351.56;3437;8.727063016
352.6;3451;19.12398876
353.64;3465;1.85058009
354.68;3478;2.102243829
355.72;3492;1.380997758
356.76;3506;2.05869403
357.8;3520;3.415659955
358.84;3534;3.665219821
359.88;3548;4.360107967
360.92;3562;2.941115242
361.96;3576;2.030182021
363;3590;2.606361276
364.04;3604;2.122127502
365.08;3618;5.185722222
366.12;3632;5.120303254
367.16;3646;7.90559867
368.2;3660;3.921048744
369.24;3674;2.650516605
370.28;3689;6.405563744
371.32;3703;1.878092784
372.36;3717;3.332119205
373.4;3731;2.715319618
374.44;3745;2.694218062
375.48;3759;4.047909024
376.52;3773;7.498405425
377.56;3788;5.677489019
378.6;3802;6.415819312
379.64;3816;3.329221491
380.68;3830;2.756482834
381.72;3844;4.119201313
382.76;3859;3.547139213
383.8;3873;3.866788055
384.84;3887;1.913045852
385.88;3902;3.158557413
386.92;3916;5.235239651
387.96;3930;7.535540639
389;3945;7.015434783
390.04;3959;6.218863143
391.08;3973;4.66681128
392.12;3988;13.36977962
393.16;4002;10.16572202
394.2;4017;3.621359048
395.24;4031;7.0875
396.28;4045;2.13442446
397.32;4060;2.075269397
398.36;4074;2.875071736
399.4;4089;1.789684814
400.44;4103;3.797639485
401.48;4118;4.030995717
402.52;4132;3.725801282
403.56;4147;4.790671642
404.6;4162;8.693457447
405.64;4176;23.26226115
406.68;4191;9.630720339
407.72;4206;3.720475352
408.76;4221;4.828250176
409.8;4235;2.62620883
410.84;4250;1.982337526
411.88;4265;2.339529617
412.92;4280;2.007487839
413.96;4295;2.234833795
415;4310;3.102911785
416.04;4325;2.842015797
417.08;4340;3.49137577
418.12;4356;3.053410641
419.16;4371;2.989955812
420.2;4386;3.435934326
421.24;4401;4.003846154
422.28;4417;5.439364919
423.32;4432;3.814909639
424.36;4448;3.38325
425.4;4464;4.887242867
426.44;4479;5.332286847
427.48;4495;3.698289474
428.52;4511;5.607220039
429.56;4527;3.715433507
430.6;4543;5.438059701
431.64;4559;11.14636628
432.68;4575;14.82839228
433.72;4591;4.462380038
434.76;4607;3.892982177
435.8;4624;6.872973401
436.84;4640;4.247306238
437.88;4657;7.45669279
438.92;4673;4.773144105
439.96;4690;3.503365385
441;4707;3.042923077
442.04;4724;2.532420441
443.08;4741;7.080447352
444.12;4758;7.971337772
445.16;4775;4.791606498
446.2;4792;5.468551765
447.24;4810;6.01302796
448.28;4827;3.637803075
449.32;4845;5.537169312
450.5;4865;4.040464369
451.5;4882;6.270078397
452.5;4899;7.953548759
453.5;4917;8.361890419
454.5;4934;9.706485177
455.5;4952;5.726855524
456.5;4969;3.708023649
457.5;4987;6.099146614
458.5;5005;4.911929922
459.5;5023;4.301174033
460.5;5041;5.550741351
461.5;5059;6.238516094
462.5;5078;4.468604336
463.5;5096;2.776548196
464.5;5115;2.8952916
465.5;5134;2.590475558
466.5;5152;4.39342661
467.5;5171;8.646643943
468.5;5191;6.0621875
469.5;5210;6.272309881
470.5;5229;7.161690647
471.5;5249;4.104326187
472.5;5268;4.10107704
473.5;5288;6.747545317
474.5;5308;6.7768875
475.5;5328;6.387586892
476.5;5348;4.694686884
477.5;5368;4.225
478.5;5389;9.40590666
479.5;5409;9.157448093
480.5;5430;7.097075743
481.5;5451;4.531568301
482.5;5472;6.501878544
483.5;5493;7.570061004
484.5;5515;7.279263747
485.5;5536;10.63738437
486.5;5558;9.930948553
487.5;5580;4.609165527
488.5;5602;4.806880942
489.5;5624;3.10888764
490.5;5646;4.350981705
491.5;5669;2.667803366
492.5;5691;3.232717678
493.5;5714;3.955205151
494.5;5737;3.738063258
495.5;5760;3.458225806
496.5;5783;3.770986336
497.5;5807;3.440843578
498.5;5830;3.651030711
499.5;5854;2.60154553
500.5;5878;2.0424233
501.5;5902;4.905421811
502.5;5927;3.263613154
503.5;5951;3.67452352
504.5;5976;4.457887324
505.5;6001;4.527806632
506.5;6026;2.095033703
507.5;6051;3.977922078
508.5;6077;1.475664063
509.5;6102;1.197566886
510.5;6128;1.552328714
511.5;6154;0.838483575
512.5;6180;1.412680061
513.5;6207;1.258477606
514.5;6233;1.516053418
515.5;6260;1.959093437
516.5;6287;3.380794702
517.5;6314;2.899296932
518.5;6342;2.68294672
519.5;6370;2.360534365
520.5;6397;2.680125
521.5;6425;3.827392769
522.5;6454;3.160323602
523.5;6482;3.119326117
524.5;6511;3.574384749
525.5;6540;3.459528724
526.5;6569;3.259252305
527.5;6598;3.381997628
528.5;6628;3.648881601
529.5;6658;3.323789649
530.5;6688;3.722572091
531.5;6718;2.679327081
532.5;6748;2.477426471
533.5;6779;1.972386364
534.5;6810;2.157274194
535.5;6841;3.782087877
536.5;6872;2.986189034
537.5;6903;6.555247305
538.5;6935;7.614837591
539.5;6967;11.00450267
540.5;6999;3.769380268
541.5;7031;2.054373835
542.5;7063;1.097764542
543.5;7095;1.541725732
544.5;7128;2.02915132
545.5;7160;2.395651177
546.5;7193;1.586563071
547.5;7226;1.116185849
548.5;7259;2.109695731
549.5;7292;1.394514036
550.5;7325;2.300270921
551.5;7358;1.717102102
552.5;7392;1.989871142
553.5;7425;0.724940191
554.5;7459;0.346089552
555.5;7492;0.596722288
556.5;7526;0.807512645
557.5;7559;2.317860327
558.5;7593;1.13442696
559.5;7627;2.509151587
560.5;7660;3.796649867
561.5;7694;0.694859259
562.5;7728;0.780509479
563.5;7762;0.757094194
564.5;7795;0.569771919
565.5;7829;1.187077653
566.5;7863;1.140557367
567.5;7897;1.727997033
568.5;7930;2.582566083
569.5;7964;1.520041629
570.5;7998;1.78072343
571.5;8031;1.241664181
572.5;8065;0.928703704
573.5;8098;2.823495959
574.5;8132;2.402639472
575.5;8165;0.673406494
576.5;8198;0.865626884
577.5;8231;2.373012995
578.5;8264;3.969672628
579.5;8297;1.226140511
580.5;8330;0.538739701
581.5;8363;0.839326187
582.5;8395;0.785720873
583.5;8428;0.406635802
584.5;8460;0.939321141
585.5;8493;2.798302709
586.5;8525;1.558244681
587.5;8557;4.391666667
588.5;8588;1.357474716
589.5;8620;0.427025739
590.5;8651;0.623170342
591.5;8683;1.889405145
592.5;8714;3.989582659
593.5;8744;4.401676978
594.5;8775;2.17640118
595.5;8806;1.41797623
596.5;8836;1.839594415
597.5;8866;0.406063652
598.5;8896;0.934081702
599.5;8925;1.085211028
600.5;8955;2.051955403
601.5;8984;2.714241272
602.5;9013;2.010679443
603.5;9041;1.369311798
604.5;9070;2.17175451
605.5;9098;2.798396294
606.5;9126;2.90464991
607.5;9154;2.60164557
608.5;9181;2.514093227
609.5;9209;2.725862069
610.5;9236;2.831554653
611.5;9263;2.567385645
612.5;9290;9.036540621
613.5;9316;7.873229088
614.5;9343;2.269138847
615.5;9369;2.091908397
616.5;9395;1.720238095
617.5;9421;5.589702473
618.5;9447;3.964793935
619.5;9473;0.824403598
620.5;9498;0.466279984
621.5;9524;1.604547252
622.5;9549;1.896361829
623.5;9574;2.653956835
624.5;9599;2.307874648
625.5;9624;2.329693177
626.5;9649;2.14862069
627.5;9673;1.718711781
628.5;9698;2.643632269
629.5;9722;1.484354441
630.5;9747;1.730545229
631.5;9771;3.910986733
632.5;9795;4.289279767
633.5;9819;3.986084413
634.5;9843;4.518721174
635.5;9867;4.323306689
636.5;9890;1.813022372
637.5;9914;3.190558848
638.5;9938;3.793057325
639.5;9961;4.554320988
640.5;9985;5.814319249
641.5;10008;8.061724433
642.5;10031;11.86427959
643.5;10055;9.088939003
644.5;10078;8.337171761
645.5;10101;6.405775862
646.5;10124;8.624050086
647.5;10148;9.280574762
648.5;10171;17.76430117
649.5;10194;19.09205284
650.5;10217;2.357672302
651.5;10240;4.906483088
652.5;10263;8.389787511
653.5;10286;8.144511931
654.5;10309;4.042386117
655.5;10332;5.294622723
656.5;10355;3.551430429
657.5;10378;5.399415078
658.5;10401;4.719155844
659.5;10424;3.672794118
660.5;10448;5.730064795
661.5;10471;6.6236195
662.5;10494;6.127906977
663.5;10517;12.41233878
664.5;10540;8.638261803
665.5;10564;5.120749465
666.5;10587;3.805384615
667.5;10611;9.968478261
668.5;10634;2.819961735
669.5;10658;2.169499788
670.5;10681;2.531677937
671.5;10705;1.808533502
672.5;10729;1.310877782
673.5;10752;2.507304311
674.5;10776;4.22057965
675.5;10800;3.384815123
676.5;10824;3.608191974
677.5;10849;3.971569839
678.5;10873;4.473225277
679.5;10897;5.08125
680.5;10922;3.834329268
681.5;10946;5.340449211
682.5;10971;7.622282609
683.5;10996;3.687079327
684.5;11021;4.052152252
685.5;11046;1.364447087
686.5;11071;1.257410327
687.5;11097;2.096177969
688.5;11122;2.200194856
689.5;11148;2.365246029
690.5;11174;2.059048903
691.5;11200;1.51946039
692.5;11226;2.138740966
693.5;11252;2.654081633
694.5;11279;3.378295156
695.5;11306;4.262998881
696.5;11333;3.766895146
697.5;11360;13.18062914
698.5;11387;14.20634369
699.5;11414;6.004360465
700.5;11442;5.895032514
701.5;11469;6.16013295
702.5;11497;6.422390994
703.5;11525;7.549342105
704.5;11553;0.852707006
705.5;11582;0.557784431
706.5;11610;0.692283409
707.5;11639;0.954245283
708.5;11667;1.397928994
709.5;11696;6.057908429
710.5;11725;3.840871369
711.5;11754;4.398552223
712.5;11783;5.041268477
713.5;11812;3.140277778
714.5;11841;0.321912419
715.5;11870;0.454455446
716.5;11900;1.259355828
717.5;11929;0.694981286
718.5;11959;1.052752294
719.5;11988;5.593380855
720.5;12017;3.447558494
721.5;12047;4.526228397
722.5;12076;2.487804878
723.5;12106;1.958482899
724.5;12136;0.256467999
725.5;12165;0.489786585
726.5;12195;1.135445612
727.5;12224;1.673194303
728.5;12254;0.716700611
729.5;12283;0.990703603
730.5;12312;1.07016678
731.5;12342;1.595705521
732.5;12371;1.042469262
733.5;12400;3.471560575
734.5;12430;1.425025729
735.5;12459;0.457737276
736.5;12488;0.696413793
737.5;12517;0.746212383
738.5;12546;0.764734467
739.5;12574;0.487617555
740.5;12603;0.409248252
741.5;12632;0.700824851
742.5;12660;0.67952062
743.5;12688;0.60950779
744.5;12717;0.996405694
745.5;12745;0.443240343
746.5;12773;0.734466019
750.5;12883;0.711123389
751.5;12910;0.765813867
752.5;12937;0.176045556
753.5;12964;0.346294206
754.5;12990;4.731690675
755.5;13016;1.63849828
756.5;13043;0.311445087
757.5;13068;0.287932375
758.5;13094;0.475411765
759.5;13120;0.284402217
760.5;13145;0.305075939
761.5;13170;0.407852241
762.5;13194;0.50377397
763.5;13219;0.546206186
764.5;13243;0.571080067
765.5;13267;0.322067511
766.5;13291;0.565563621
767.5;13314;0.660008647
768.5;13337;0.806351292
769.5;13360;0.966555704
770.5;13382;0.818384338
771.5;13404;0.973858447
772.5;13426;0.863461538
773.5;13448;1.035341176
774.5;13469;1.019966523
775.5;13490;1.179280156
776.5;13510;0.977535873
777.5;13530;0.802593152
778.5;13550;0.99061057
779.5;13569;1.690794979
780.5;13588;1.197333333
781.5;13607;1.269603045
782.5;13625;1.942429285
783.5;13643;1.968184389
784.5;13661;2.305885747
785.5;13678;0.647088235
786.5;13695;2.317767107
787.5;13712;0.632007344
788.5;13728;0.462453184
789.5;13744;0.843125398
790.5;13760;0.903831169
791.5;13775;1.412417219
792.5;13790;1.759594595
793.5;13805;1.066838843
794.5;13819;0.662614195
795.5;13833;0.578939828
796.5;13847;1.82027027
797.5;13861;1.739791356
798.5;13874;1.1761959
799.5;13887;1.05994582
800.5;13900;0.460694554
801.5;13913;1.011423974
802.5;13925;0.938483607
803.5;13937;1.405467446
804.5;13949;2.061734694
805.5;13961;1.439601386
806.5;13972;1.227425044
807.5;13984;1.007630162
808.5;13995;1.928976234
809.5;14006;1.440976744
810.5;14016;1.040728477
811.5;14027;1.706977863
812.5;14037;1.73537182
813.5;14047;2.030765408
814.5;14057;1.428636364
815.5;14067;2.003230769
816.5;14077;1.868886576
817.5;14086;1.991341077
818.5;14096;2.52382227
819.5;14105;3.656351792
820.5;14114;3.408250825
821.5;14123;3.4
822.5;14132;3.290304397
823.5;14141;2.175883694
824.5;14150;1.888076037
825.5;14159;2.900989523
826.5;14167;1.056470588
827.5;14176;2.34631829
828.5;14184;2.129111645
829.5;14192;2.666787879
830.5;14201;2.228492647
831.5;14209;4.334405941
832.5;14217;2.413375
833.5;14225;2.551136364
834.5;14233;2.061734694
835.5;14241;3.066623711
836.5;14248;3.917057292
837.5;14256;2.953947368
838.5;14264;1.641954787
839.5;14271;2.109395973
840.5;14278;1.675373134
841.5;14286;3.782671233
842.5;14293;6.218836565
843.5;14300;4.992377622
844.5;14307;1.109816384
845.5;14314;1.216975749
846.5;14321;2.911383285
847.5;14328;4.215502183
850.5;14349;1.799775112
851.5;14355;2.367954545
852.5;14362;2.978440367
853.5;14369;2.905641422
854.5;14375;3.038845554
855.5;14381;3.138897638
856.5;14388;2.520667727
857.5;14394;1.890529695
858.5;14400;4.368476499
859.5;14406;4.300163666
860.5;14412;3.743801653
861.5;14418;2.760350584
862.5;14424;6.901767677
863.5;14430;2.003061224
864.5;14436;3.418867925
865.5;14442;5.211851211
866.5;14448;4.870541958
867.5;14454;3.195767196
868.5;14459;3.224199288
869.5;14465;2.195870736
870.5;14470;3.528804348
871.5;14476;5.051736746
872.5;14481;3.587292818
873.5;14487;4.841542751
874.5;14492;4.801969981
875.5;14497;3.382514178
876.5;14503;4.236068702
877.5;14508;2.918365385
878.5;14513;5.26744186
879.5;14518;4.998925781
880.5;14523;8.783562992
881.5;14528;6.291666667
882.5;14534;3.7599
883.5;14538;1.735282258
884.5;14543;9.575609756
885.5;14548;1.991717791
886.5;14553;1.821340206
887.5;14558;0.563900415
888.5;14563;1.655010438
889.5;14568;1.335157895
890.5;14572;2.351377119
891.5;14577;4.056716418
892.5;14582;5.443776824
893.5;14586;4.940928726
894.5;14591;3.791413043
895.5;14596;5.005798687
896.5;14600;3.733516484
897.5;14605;3.75829646
898.5;14609;7.801666667
899.5;14614;8.563422819
900.5;14618;5.293483146
901.5;14623;4.550451467
902.5;14627;4.776530612
903.5;14632;3.508428246
904.5;14636;3.990961098
905.5;14640;6.04
906.5;14645;7.480254042
907.5;14649;3.048027842
908.5;14653;1.52755814
909.5;14658;3.704439252
910.5;14662;5.516627635
911.5;14666;7.780941176
912.5;14670;5.448820755
913.5;14675;3.855319149
914.5;14679;3.864454976
915.5;14683;2.528622328
916.5;14687;3.775
917.5;14691;4.648926014
918.5;14696;3.034449761
919.5;14700;4.399640288
920.5;14704;8.310431655
921.5;14708;12.14170673
922.5;14712;5.825841346
923.5;14716;7.313493976
924.5;14721;3.875060241
925.5;14725;3.547590361
926.5;14729;2.783493976
927.5;14733;3.056385542
928.5;14737;2.674337349
929.5;14741;4.912048193
930.5;14745;6.221927711
931.5;14750;4.802891566
932.5;14754;6.167349398
933.5;14758;4.85746988
934.5;14762;4.20253012
935.5;14766;4.912048193
936.5;14770;5.566987952
937.5;14775;5.839879518
938.5;14779;5.075783133
939.5;14783;7.750120482
940.5;14787;4.85746988
941.5;14791;3.110963855
942.5;14795;3.820481928
943.5;14799;4.20253012
944.5;14804;5.184939759
945.5;14808;5.785301205
950.5;14828;1.747590361
951.5;14833;2.038855422
952.5;14837;4.019457831
953.5;14841;3.145662651
954.5;14845;1.223313253
955.5;14849;2.330120482
956.5;14853;2.679638554
957.5;14858;0.815542169
958.5;14862;1.689337349
959.5;14866;2.155361446
960.5;14870;2.097108434
961.5;14874;1.048554217
962.5;14878;0.815542169
963.5;14882;1.165060241
964.5;14887;0.990301205
965.5;14891;0.815542169
966.5;14895;0.815542169
967.5;14899;0.757289157
968.5;14903;0.757289157
