Andreaea sp.,B.mossmaniana,B.pendula,B.affinis,B.rutabulum/paradoxum,Briaceae,B.rutabulum/paradoxum,C.nitens,D.microcarpum,Dicranoloma sp.,Dicranaceae,D.cylindricarpum/difficile,Fissidens sp.,Entosthodon sp.,Grimiaceae,Hypnum sp.,H.comosum,H.didictyon,A.chlamydophyllum,Camptochaete,Weymouthia sp.,L.inclinans,Campylopus sp.,T.pumilum,Orthotrichaceae,P.grandiglobum,Tortula,W.extenuata,P.acicularis,H.alaris ,R.purpurascens,R.novaehollandiae,Pyrrhobryum sp.,B.robusta,Sphagnum sp.,T.furfurosa,Leptoscyphus sp.,P. juniperinum,C.exiliflora
1,0,0,0,0,0,1,0,11,3,0,0,7,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
0,0,26,1,0,2,0,0,0,7,0,0,11,1,4,2,0,1,0,0,0,0,0,2,0,0,0,0,0,4,0,1,2,0,2,2,0,0,0
0,0,8,0,0,0,0,0,3,0,0,0,10,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,3,0,0,0,0
1,0,2,0,0,4,2,0,2,0,0,0,7,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,1,0,0,0
0,0,11,0,0,0,0,0,2,0,0,0,18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,5,0,0,6,0,0,0
0,0,8,0,0,0,0,0,3,0,0,2,10,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,2,0,2,0,0,0,0
1,0,7,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,23,0,0,2,0,0,7,0,0,0,22,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,0,12,0,3,3,3,0,4,3,0,0,46,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,1,10,1,0,0
0,0,13,0,0,0,0,0,2,0,0,1,60,0,0,0,0,0,0,0,0,0,1,4,2,0,0,0,0,0,1,0,0,0,9,2,0,0,0
0,0,5,0,0,1,0,0,10,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0
0,0,21,0,0,1,0,0,9,6,0,0,26,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,28,1,2,0,0
0,0,26,0,0,1,0,0,6,0,0,0,26,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0
2,0,5,0,0,2,0,0,8,2,0,0,30,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,1,1,55,0,0,0,0
0,0,20,0,0,0,0,0,14,2,0,0,43,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,54,0,0,0,0
3,0,13,0,2,5,2,0,5,1,0,0,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,46,2,2,0,0
1,4,49,0,0,4,0,0,12,0,0,0,56,0,0,14,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,48,1,12,0,0
1,2,46,0,0,4,0,0,6,2,0,0,29,0,1,5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,25,1,0,0,0
0,0,11,0,0,2,0,0,8,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,3,0,0,0,0
0,0,15,0,0,1,0,0,21,6,0,0,10,0,2,0,0,0,0,0,0,0,2,0,3,0,0,0,1,0,0,0,0,0,6,1,0,0,0
