"","Eucalyptus.sp.","A.laxifolia","A.cupressoides","D.archeri","M.tetragona","P.hookeriana","N.cunninghamii","E.serpyllifolia","R.scoparia","B.rubioides","M.dealbata","L.juniperina","O.acicularis","O.revoluta","R.sprengeloides","C.nitida","S.incarnata","T.cunninghamii","Cyathodes","L.lanigerum","L.rupestre","Andreaea.sp.","B.mossmaniana","B.pendula.affinis","B.rutabulum.paradoxum","Bryaceae","D.microcarpum","Dicranoloma.sp.","Dicranaceae","D.cylindricarpum.difficile","Fissidens.sp.","Entosthodon.sp.","Grimmiaceae","H.chrysogaster.cupressiforme","H.comosum","H.didictyon","Lembophyllaceae","Weymouthia.sp.","L.inclinans","Campylopus.sp.","T.pumilum","L.gaudichaudii","Orthotrichaceae","P.acicularis","H.alaris","R.purpurascens","R.novaehollandiae","Pyrrhobryum.sp.","B.robusta","Sphagnum.sp.","T.furfurosa","Leptoscyphus.sp."
"37",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0191570881226054,0,0,0.00383141762452107,0.00574712643678161,0,0,0.60536398467433,0,0,0,0.00574712643678161,0,0,0.0191570881226054,0,0,0,0,0,0.00191570881226054,0,0,0,0.00191570881226054,0,0.111111111111111,0.21455938697318,0.0114942528735632
"38",0.192307692307692,0,0,0,0,0.00549450549450549,0,0.032967032967033,0,0,0,0,0,0,0.00549450549450549,0,0,0,0,0,0,0,0,0.0494505494505494,0,0.00549450549450549,0,0,0,0,0.120879120879121,0,0,0,0.0549450549450549,0,0,0,0,0,0.0164835164835165,0,0,0,0,0.0164835164835165,0,0.0164835164835165,0,0.0164835164835165,0.467032967032967,0
"39",0,0,0,0,0,0,0,0.032258064516129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.387096774193548,0,0.032258064516129,0,0.032258064516129,0.032258064516129,0,0.193548387096774,0,0.0645161290322581,0,0.129032258064516,0,0,0,0,0,0,0,0,0,0,0,0,0.0645161290322581,0,0,0.032258064516129,0
"40",0,0,0,0,0,0,0,0.0784313725490196,0,0.0588235294117647,0,0,0,0,0.0196078431372549,0,0,0,0,0,0,0,0,0.313725490196078,0,0,0,0.0392156862745098,0,0,0.196078431372549,0,0,0.0980392156862745,0.0196078431372549,0,0,0,0,0.0588235294117647,0,0.0196078431372549,0,0,0,0.0196078431372549,0,0.0196078431372549,0,0.0392156862745098,0.0196078431372549,0
"41",0,0,0,0,0,0,0.00909090909090909,0.0454545454545455,0,0.00909090909090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0.254545454545455,0,0.0181818181818182,0.00909090909090909,0.0272727272727273,0,0,0.290909090909091,0,0,0.0181818181818182,0.0272727272727273,0.00909090909090909,0,0,0,0.00909090909090909,0,0.00909090909090909,0,0,0,0.00909090909090909,0,0.00909090909090909,0,0.245454545454545,0,0
"42",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.373493975903614,0.0120481927710843,0.0240963855421687,0,0.0481927710843374,0,0,0.325301204819277,0,0,0.0240963855421687,0.0240963855421687,0,0.0120481927710843,0.0240963855421687,0,0.0240963855421687,0,0,0.0120481927710843,0,0,0.0120481927710843,0,0,0,0.0843373493975904,0,0
"43",0.115384615384615,0,0,0,0,0,0,0.0480769230769231,0,0,0,0.00961538461538462,0,0,0,0,0,0,0,0,0.00961538461538462,0,0,0.326923076923077,0,0.00961538461538462,0.0384615384615385,0.00961538461538462,0,0,0.163461538461538,0,0.0673076923076923,0.00961538461538462,0.0288461538461538,0,0,0,0,0.0288461538461538,0,0.0480769230769231,0.00961538461538462,0,0,0.0288461538461538,0,0,0,0.0480769230769231,0,0
"44",0,0,0,0,0,0,0.0178571428571429,0.0535714285714286,0,0.0178571428571429,0,0.0178571428571429,0,0,0,0,0,0,0,0.0178571428571429,0,0.0178571428571429,0,0.267857142857143,0,0,0,0.0178571428571429,0,0,0.178571428571429,0.0714285714285714,0,0,0.25,0,0,0,0,0,0,0,0.0357142857142857,0,0,0.0178571428571429,0.0178571428571429,0,0,0,0,0
"45",0.228070175438596,0,0,0,0,0,0.0175438596491228,0.0701754385964912,0,0,0,0,0,0,0,0,0,0,0,0,0.0175438596491228,0,0,0.280701754385965,0,0,0,0.0526315789473684,0,0,0.140350877192982,0,0,0,0,0,0.0350877192982456,0,0,0.0175438596491228,0.0701754385964912,0,0,0,0,0.0175438596491228,0,0.0526315789473684,0,0,0,0
"46",0.0697674418604651,0,0.116279069767442,0,0,0,0.0697674418604651,0.162790697674419,0,0,0,0.0465116279069767,0,0,0,0,0,0,0,0,0,0,0,0.27906976744186,0,0,0.0697674418604651,0,0,0,0.186046511627907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
