"","DCA1","DCA2"
"1",-0.146256245927389,0.0778309928915817
"2",-0.0996224550120881,-0.386587860086964
"3",-0.693489311913436,-0.082466898225205
"4",-0.270168041462065,-0.538446333090571
"5",-1.07064791328934,-1.01664640600493
"6",-0.587202629829124,0.0972552502912327
"7",-0.211034356503609,-0.338633015826989
"8",-0.562607405270477,-0.0426443055161472
"9",-0.647423029460744,-0.0511508245181658
"10",-0.841098992596119,0.342611308555454
"11",-0.640304454650993,0.325075823653056
"12",-0.919497983969374,-0.072164007384661
"13",-0.850095718266904,0.0497055652889358
"14",-1.05627980004796,0.896440810670234
"15",-0.999855898088012,0.73854521980374
"16",-0.895287428510138,0.725053580754653
"17",-0.253023457181163,0.280750384499082
"18",-0.619314070441669,0.0505297338757082
"19",-0.543940530064345,-0.038503545360002
"20",-0.436373558164668,-0.0293585155004734
"21",-0.347297243314177,-0.140882905348626
"22",-0.695417634368293,-0.399102400830144
"23",-0.644620821764918,0.267227123817968
"24",-0.746966325416358,0.191707149163538
"25",-0.261092968987244,0.0637178154091496
"26",-0.677703576608993,0.352340469470709
"27",-0.362151720057739,-0.441651289458913
"28",-0.459809679055853,0.0560348414645939
"29",-0.607742404014744,0.486184966873093
"30",-0.284045835999642,-0.0463970636530076
"31",-0.356933120432408,-0.214943252833955
"32",-0.852334121225673,-0.402872348105975
"33",-0.605663451976866,-0.332404893038677
"34",-0.396970750206186,-0.0116001903770797
"35",-0.541730928016351,0.299154033389303
"36",-0.629280776876278,0.670585784310916
"37",-1.08434005356308,0.401485533090988
"38",-1.19419312378711,-1.21418375569322
"39",-0.390985712770107,-0.610477991591696
"40",-0.248824688547465,-0.196970519328502
"41",-0.720669198994331,0.30325753841968
"42",-0.558454327113166,-0.0301723061087422
"43",-0.442167020867117,-0.493849643195915
"44",-0.254737163693397,-0.505752687585146
"45",-0.619532953580062,-0.93287742297805
"46",0.0502724590985018,-0.274135991896509
"47",0.576757858974881,0.210350825028953
"48",0.0132602024039274,6.92391273000581e-05
"49",0.225044483483335,-0.156471031080159
"50",0.569078760325286,-0.0853916091402716
"51",-0.49424558093533,-0.658968096849881
"52",-0.133711198858768,-0.553758700240354
"53",0.353498842925467,-0.359820577636489
"54",0.140294436611562,-0.108161440851912
"55",0.361078746510959,0.262922959390196
"56",0.0132651141850635,0.0274607172257426
"57",0.831239679966268,0.31520895355569
"58",-0.24299499086753,0.303703176069459
"59",-0.060464991708975,0.166921918298757
"60",0.259852429430422,-0.112665090447196
"61",-0.186969780815606,-0.134778151881378
"62",0.422056147528531,-0.348090031838854
"63",2.11188515216661,0.0418800374267438
"64",2.37936784238122,0.658537109929619
"65",2.31315456757031,-0.212539331007856
"66",0.546190237135187,-0.612847396607044
"67",2.19164898328363,-0.265194155937095
"68",1.80485695160069,-0.207156605375491
"69",1.52873041492734,-0.0557938856454305
"70",1.77557978376714,-0.234511277102252
"71",2.30495648361267,-0.230455353048807
"72",1.93453391541092,-0.0739627852799811
"73",1.75255781245024,-0.158133097329565
"74",1.57243689131216,-0.300295858791817
"75",1.80730555719578,-0.0685810566739853
"76",1.57916821893074,-0.307797096845715
"77",2.42544637463469,-0.346348318673292
"78",2.36307715131173,-0.238885052335515
"79",1.86745161982675,0.0177937003270643
"80",2.54256887038214,-0.206906207542442
